entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMIMPETIQUETA","Articulo","ImpEtDet","MART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMIMPETIQUETA","Numero","ImpEtDet","numero",F,"N",10,0,"CODIGO",T,"",F,"",F,""
"ITEMIMPETIQUETA","CodigoDeBarras","","",F,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","NoProcesarStock","ImpEtDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMIMPETIQUETA","Comportamiento","ImpEtDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMIMPETIQUETA","ImagenQrLink1","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","ImagenQrLink2","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","ImagenQrLink3","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","Secuencial","","",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","UrlQrLink1","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","UrlQrLink2","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","UrlQrLink3","","",F,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPETIQUETA","ArticuloDetalle","ImpEtDet","DESCRIP",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.descripcion"
"ITEMIMPETIQUETA","Equivalencia","ImpEtDet","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMIMPETIQUETA","Color","ImpEtDet","MCOLO",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMIMPETIQUETA","ColorDetalle","ImpEtDet","MDES",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.descripcion"
"ITEMIMPETIQUETA","Talle","ImpEtDet","MTALL",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMIMPETIQUETA","TalleDetalle","ImpEtDet","TDES",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Talle.descripcion"
"ITEMIMPETIQUETA","Cantidad","ImpEtDet","CANTI",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"ITEMIMPETIQUETA","Nota","ImpEtDet","Nota",T,"C",254,0,"DESCRIPCION",F,"",F,"",F,""
